,AIBeta_3_0.35,AIBeta_3_0.40,AIBeta_3_0.45,AIBeta_3_0.50,AIBeta_4_0.35,AIBeta_4_0.40,AIBeta_4_0.45,AIBeta_4_0.50,AIBeta_5_0.35,AIBeta_5_0.40,AIBeta_5_0.45,AIBeta_5_0.50,AIBeta_6_0.35,AIBeta_6_0.40,AIBeta_6_0.45,AIBeta_6_0.50,AIBeta_7_0.35,AIBeta_7_0.40,AIBeta_7_0.45,AIBeta_7_0.50,AIBeta_8_0.35,AIBeta_8_0.40,AIBeta_8_0.45,AIBeta_8_0.50,AIBeta_9_0.35,AIBeta_9_0.40,AIBeta_9_0.45,AIBeta_9_0.50,AIBeta_10_0.35,AIBeta_10_0.40,AIBeta_10_0.45,AIBeta_10_0.50,AIBeta_11_0.35,AIBeta_11_0.40,AIBeta_11_0.45,AIBeta_11_0.50,AIBeta_12_0.35,AIBeta_12_0.40,AIBeta_12_0.45,AIBeta_12_0.50
start,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00,2003-06-27 00:00:00
end,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,7.295641849011444,6.376082293321262,6.113447857708064,6.079432541161472,5.342145661223554,4.863861955110025,5.115506567558787,5.368392983440002,4.572639942201179,4.402725994916334,4.69263967698454,4.587353536513495,5.1441574326273996,5.792431871523711,6.048738242474991,6.406242224344663,4.895282640020586,4.963112276164114,5.1044991162054,5.57388997325469,4.539049388869195,4.735907588535689,5.2553835941273475,5.882505851183078,3.802472619055856,4.164118327279893,4.681310401911154,5.285289726487552,5.21751020783771,5.295826087573513,5.548735574968134,5.796702819834637,5.130350698426992,5.173217049839127,5.373007345678599,5.545162680835526,4.610512066671054,4.806778137334469,5.07499453013792,5.210801292563176
cagr,0.13244567248584893,0.1246509700507441,0.1222564481212518,0.1219402534161016,0.11470996256818355,0.10958353807278076,0.11232784694053799,0.11498064192593938,0.10626571176620758,0.10425371255401528,0.10765216446844605,0.10643721292870767,0.11263352995472342,0.1192139734400155,0.12165369999903608,0.12492079178859727,0.10993218676796634,0.110678910019822,0.11221004724631434,0.11706428223644894,0.10587257873958689,0.10814533362900991,0.11380765146789584,0.12008109592529892,0.09663467898578237,0.1013253545884647,0.10752245019012374,0.11411999331200318,0.11341007580785845,0.11422970270281407,0.11681254826850895,0.11925533267919408,0.11248639043250241,0.1129422066171546,0.11502811965991566,0.11677671855119631,0.10670628883012157,0.10894560400542241,0.11189330574174727,0.11333941144434645
max_drawdown,-0.15982772912278442,-0.15776677514316972,-0.17126374240825126,-0.1840391976866591,-0.1807350369815358,-0.1947693061921405,-0.21586798189801293,-0.21800534332233912,-0.17054138493616167,-0.183250188576905,-0.17540865786032922,-0.18208938950284093,-0.18408823117853623,-0.19133156705694654,-0.20525549605375815,-0.202245165189183,-0.18672292266503532,-0.21476932999962173,-0.23435897048075116,-0.22809244525959693,-0.19640824178639849,-0.2053441211765118,-0.2028748035357819,-0.19581337809974764,-0.2021567908141616,-0.22375373556155587,-0.23457379767214537,-0.25267413506626935,-0.17080908751025536,-0.19162783170066844,-0.21283967381627178,-0.2355004033739566,-0.16661770952234045,-0.18849190965810014,-0.20428702239452512,-0.21885099369819738,-0.16583132549123536,-0.17713592502255515,-0.19268638577065278,-0.21510497708445775
calmar,0.828677684484275,0.7900964568593496,0.7138489817057837,0.6625776190554485,0.6346858057184701,0.5626324815506416,0.5203543663719773,0.5274212098367281,0.6231080614596027,0.5689146263020782,0.6137220692616273,0.5845327573413994,0.6118453593347141,0.623075299459255,0.5926939952300909,0.617670101887205,0.5887449981980795,0.5153385263157311,0.4787956143352772,0.5132317385751884,0.5390434626196969,0.5266541501621527,0.5609747957085419,0.6132425531422547,0.4780184657492736,0.4528431864351581,0.4583736600470768,0.4516488926817646,0.663958091814344,0.5961018380735329,0.5488288258200598,0.5063912034572007,0.675116653295609,0.5991886167529265,0.5630711060919473,0.5335900768731953,0.6434627988049295,0.615039574787272,0.5807016686426907,0.5269027847730618
mtd,-0.00845360869572076,-0.009870312320269692,-0.010896418128568008,-0.01051703435271134,-0.010076941787843796,-0.012981019060942733,-0.013044486077814277,-0.013100407615974752,-0.009955625553823788,-0.012858160834877785,-0.012686386801645466,-0.012829402206205875,-0.009609794915569458,-0.009594020794374769,-0.009518474831083923,-0.009514819595479396,-0.008130416921371841,-0.007989171729549827,-0.008144605221105161,-0.007987988246806355,-0.0074753160440277355,-0.008193772472517513,-0.0073229839375837935,-0.0067479029524922796,-0.0037276667616855663,-0.005696320743737271,-0.007398764396187474,-0.007424626898219433,-0.006160118771418088,-0.00825599284919476,-0.010254084979862133,-0.011568657181887265,-0.007619042440828783,-0.009969559118059634,-0.009565383640060432,-0.009651908968403622,-0.005128352381894907,-0.003916386066740496,-0.0037821873775089054,-0.0038547930895086457
three_month,0.08415304111858513,0.06685440266221554,0.0537952844045364,0.04340407775448818,0.08469397757159047,0.06731000479637261,0.05634581019864382,0.04512004365785005,0.08689245603872497,0.07229645238389759,0.0709026443924361,0.07215551073413695,0.09556959313110425,0.10332791936913854,0.10702688610276345,0.10774377880372743,0.09569157111598137,0.10427917668243203,0.11360140648162154,0.1215323662784733,0.09868782677409316,0.10034139546222787,0.10454499732435019,0.10783378500518159,0.09790185543486496,0.09945355754750884,0.09951509791339097,0.10335763854611568,0.09718608701471476,0.09850547677930255,0.09946598322247402,0.10030111363542416,0.08889318424008597,0.07934997825732037,0.08221753169751955,0.0823630524502812,0.0920211474372068,0.09491175355781567,0.09484975847798394,0.09498539717822463
six_month,0.021192254409933664,0.007500853047040845,-0.0043076763719357425,-0.014973464330612196,0.01091998035261632,-0.010535914472274532,-0.024363992385723177,-0.03413737555546348,-0.002169834418144889,-0.02015450172383193,-0.02272425799518729,-0.021543077831330137,0.012735681997613213,0.024446548714115224,0.028957717590674337,0.032012522088493034,0.029371385577912745,0.039012503500245765,0.04440228764946852,0.0498525408938022,0.05184531418145166,0.055990878684336165,0.0597171151235385,0.06263824464846524,0.047118759513161024,0.04773240997663031,0.04756314830845443,0.050564506336029824,0.0638748195179113,0.06507219367482553,0.06761718076070533,0.06835323252118242,0.05557281550423099,0.045275269186344724,0.04833918831529482,0.04921758142030308,0.06451450628181776,0.06702346784223967,0.06410097496577727,0.06290999230642491
