,AIBeta_3_0.30,AIBeta_3_0.35,AIBeta_3_0.40,AIBeta_3_0.45,AIBeta_4_0.30,AIBeta_4_0.35,AIBeta_4_0.40,AIBeta_4_0.45,AIBeta_5_0.30,AIBeta_5_0.35,AIBeta_5_0.40,AIBeta_5_0.45,AIBeta_6_0.30,AIBeta_6_0.35,AIBeta_6_0.40,AIBeta_6_0.45,AIBeta_7_0.30,AIBeta_7_0.35,AIBeta_7_0.40,AIBeta_7_0.45,AIBeta_8_0.30,AIBeta_8_0.35,AIBeta_8_0.40,AIBeta_8_0.45,AIBeta_9_0.30,AIBeta_9_0.35,AIBeta_9_0.40,AIBeta_9_0.45,AIBeta_10_0.30,AIBeta_10_0.35,AIBeta_10_0.40,AIBeta_10_0.45,AIBeta_11_0.30,AIBeta_11_0.35,AIBeta_11_0.40,AIBeta_11_0.45,AIBeta_12_0.30,AIBeta_12_0.35,AIBeta_12_0.40,AIBeta_12_0.45
start,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00,1986-10-30 00:00:00
end,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,239.30390429900788,389.08466863232235,391.53654406749644,398.3324140960823,181.17705901324646,255.29347139130334,225.9470588692229,245.03563363182369,163.4363848855059,221.70182446344484,232.2698218770593,241.53432986508216,230.29421022665053,295.7918382940601,290.19208557623267,302.19592169256975,218.96927164382606,280.70979473859387,218.1708133513,215.91590265772433,207.11582933451476,262.53531940973744,233.54082734159428,249.0000708712076,200.79411857041524,248.68858742653137,236.58008815283864,267.148993891146,239.45538871538608,328.3444016120334,303.57752931919515,299.18745452322315,223.85350554058928,338.1809559426895,312.2820503082502,318.1857388304428,195.1929851505391,283.0573707288871,266.45041626744353,268.1948334843725
cagr,0.16997090056384323,0.1863148938280117,0.1865277699309802,0.18711111671703584,0.16072973697836135,0.17213112006293518,0.16805650669219196,0.17076090149880785,0.15732927187565426,0.16742507371735194,0.16897599492861293,0.17028047239674993,0.16869131878230026,0.17706571935156656,0.1764238619425207,0.1777855068586991,0.16701242079699052,0.1753091300471339,0.16689090233720338,0.1665453880060066,0.1651627423211055,0.1730667549471807,0.16915790532576258,0.17129692671963137,0.16413397976794308,0.17125511148463213,0.16958904076089198,0.1736498970667597,0.16999201400492625,0.18057886271942247,0.17793885481029914,0.1774492280571247,0.1677465604674493,0.18157420906731825,0.17888972572061101,0.17952014091510193,0.16319597878801462,0.17558846667356942,0.17356222990861458,0.1737807296423195
max_drawdown,-0.2835517053015921,-0.348083897445268,-0.3514728528798431,-0.3626096584606715,-0.3822339879269643,-0.46252981654413483,-0.43065428774188896,-0.4287640653599839,-0.38679936109918445,-0.46086164396821605,-0.45388967705056626,-0.45018698597521134,-0.28362516740011834,-0.41565138759305076,-0.4508541008622623,-0.43602300529085236,-0.2837180444467795,-0.35377635614328407,-0.4018613268147584,-0.41316888206267366,-0.28369582030199725,-0.3430007444188965,-0.386395553576803,-0.3946078330972268,-0.2837889357252701,-0.34687798658666036,-0.38877668574628876,-0.4047359896480013,-0.28395050858389137,-0.3482528669878987,-0.3884618428115286,-0.4074523697771377,-0.2838015025636351,-0.36612719680975936,-0.3975819134759888,-0.41558443161292835,-0.28374477865220094,-0.36739808600454904,-0.405023179932229,-0.41940731395711217
calmar,0.5994352965821816,0.5352585833342304,0.5307032062437774,0.5160125009117204,0.42050090273257684,0.37215140279828934,0.39023530352707414,0.39826308987773856,0.40674646263262915,0.36328706436871244,0.3722842872890187,0.3782438802132012,0.5947685120069844,0.4259957373820323,0.39131031880404005,0.407743409639833,0.5886563229443065,0.4955365925475568,0.4152947576718007,0.40309276723493254,0.5821825014738955,0.5045667036098892,0.43778429580748124,0.43409408620995565,0.5783663811574304,0.4937041787223576,0.43621196172129484,0.4290448625974254,0.5986677567605173,0.5185280003041507,0.45806005944483547,0.43550913240284567,0.5910700223647917,0.49593204397122315,0.44994432507406984,0.43197032241646965,0.5751505968257885,0.4779242825761355,0.4285241894986259,0.41434835268535636
mtd,-0.008283545433150685,-0.00489920817425038,-0.004851688612691252,-0.004808220340418279,-0.008284129430287779,-0.006487823035015383,-0.006358795055487865,-0.006129113884139503,-0.00828956434886119,-0.006310612144841743,-0.0062651310201689014,-0.006155656163658096,-0.008499744747981208,-0.008391318301857686,-0.008241424423536148,-0.00810593147967742,-0.008291681902764081,-0.007759232650244363,-0.007576096209521266,-0.007412538097816612,-0.008284743325936983,-0.007918908276849934,-0.007676559806991445,-0.007494781928980121,-0.008667169007647302,-0.00829330289898833,-0.008059979384990812,-0.007914331606278302,-0.010759543616861156,-0.010371935153094314,-0.010225633719523786,-0.009323196252448596,-0.013656012413649332,-0.01314459300412818,-0.011895903171267541,-0.010760383040603672,-0.014979153149734414,-0.014936049886163372,-0.013020761916517465,-0.011820879105403526
three_month,-0.004030630425498893,-0.006346632740991565,-0.004264299651071335,-0.002828105032258721,-0.0013020670085320818,0.006239463922725896,0.010713920165823954,0.01431387010306251,-0.0029664159603598472,0.0003312654967095874,0.0065308441457612165,0.006818550990011385,0.0036096094124027367,0.015555021575648587,0.025296556289201577,0.029014970855254285,-0.002122912619634154,0.010084857202888209,0.022762954740171315,0.02896320492853577,-0.0034739769545245602,0.0028289113459170068,0.010979067213196636,0.017855700056459867,-0.007479406592971749,-0.0018207988598722968,-0.0009403806025347627,-0.002415822005072732,-0.01169979014814404,-0.010315955500314944,-0.012185134768938233,-0.012503208860382253,-0.024586085910337507,-0.024124049870161035,-0.02221022698723496,-0.02604847516077302,-0.018244206880782987,-0.018572907445849607,-0.02036697656959452,-0.018935605938622868
six_month,0.047512681381332245,0.050451761069996603,0.04754550526151524,0.04430669192757031,0.053687896026663795,0.06366949108096942,0.06048829816679335,0.06217828035462225,0.05087917431179245,0.05565020423539879,0.06231095862259162,0.05767107972491736,0.059591225522525715,0.07685792436348637,0.08281194521844903,0.07955582083999713,0.04131187161199046,0.05305508530961367,0.06503817575576942,0.07160300814954867,0.05306283626315533,0.06391085864824975,0.06531664796300052,0.07326053745221284,0.034106100167510256,0.039551825447475375,0.03724981975971153,0.0357683658648944,0.04186525469733149,0.04741935501417238,0.04377034959955406,0.04555952365633731,0.02847840432608373,0.03130691805253938,0.0301207059276678,0.026772328847972204,0.03550189483648181,0.040669102904985044,0.035438917094957834,0.03728973255517021
